candidate,configuration,hardware,engine,quant,context_tested,load,preflight,tool_calls,session,long_context,intelligence,throughput_single_tok_s,ttft_notes,verdict
gpt-oss-120b (heavy baseline),vllm-production-131k,RTX PRO 6000 96GB,vLLM (production),mxfp4,131072,pass,pass,pass,pass,pass (131k TTFT 25.2s),2/2,183.2 (prior measured),production reference,current production heavy
qwen36-35b-a3b (fast baseline),vllm-production-nvfp4-32k thinking-disabled,RTX 5090 32GB,vLLM (production),NVFP4,32768,pass,pass,pass,pass,pass (32k),1/2,(prior promotion evidence),production reference,current production fast
nemotron3-nano-30b-a3b,vllm-nvfp4-piecewise-131k-nothink (NGC 26.04 + nano_v3 parser + PIECEWISE),RTX 5090 32GB,vLLM 0.19 NGC 26.04,NVFP4,131072,pass (PIECEWISE required; FULL graphs hang),ALL PASS,pass,pass,pass (131k needle),1/2 idle-host re-measure (0/2 on the pre-fix concurrent-load run),15.0,idle-host re-measure on WSL 2.7.10: warm TTFT p50 1.68s — the pre-fix 17-41s erraticness did not reproduce,keep experimental
nemotron3-omni-30b-a3b,vllm-nightly-nvfp4-tools-64k,RTX 5090 32GB,vLLM nightly v0.23.1rc1,NVFP4 (modelopt_mixed),65536,fail on NGC 26.04 (arch unsupported) / pass on nightly,pass (needle-400 is the 64k window),pass (20/20),pass,pass (64k TTFT 3.1s post-WSL-fix),0/2,27.3,TTFT p50 675ms warm; sound encoder loaded (AVLM),keep experimental; watch for stable-release support
gemma4-31b-it,six configs attempted (see failures.md),RTX 5090 32GB,vLLM gemma4-unified,NVFP4,none fit (16k-32k all OOM),fail (KV OOM ladder),n/a,n/a,n/a,n/a,n/a,n/a,reject under tested configuration (32GB + legacy runner); untested: PRO 6000 / llama.cpp GGUF / NGC image
ornith-1.0-35b,vllm-fp8-131k thinking-disabled,RTX PRO 6000 96GB,vLLM 0.19 NGC 26.04,FP8 (compressed-tensors),131072,pass,partial (default-thinking empties small budgets),pass (20/20),pass,pass (131k needle 11.9s; TTFT 13.1s),1/2,29.2,fastest 131k full-prefill of the set,retain as specialist (agentic/long-context); not promoted
minimax-m27-reap-139b,vllm-nvfp4-64k thinking-disabled,RTX PRO 6000 96GB,vLLM 0.19 NGC 26.04,NVFP4 REAP (community),65536,pass,partial (default-thinking leak; no reasoning parser configured),pass,pass,pass (64k TTFT 14.3s),2/2,97.2,TTFT p50 86ms warm; VRAM 94.3GB (no 131k headroom),best measured heavy candidate; community checkpoint caveat; not promoted
deepseek-v4-flash,2 attempts (NGC: transformers too old; nightly: aborted at shard 18/46),RTX PRO 6000 96GB,vLLM NGC 26.04 / nightly,NVFP4,not reached,incomplete,n/a,n/a,n/a,n/a,n/a,n/a,not enough evidence
nemotron3-puzzle-75b,vllm-nightly-nvfp4-mtp3-131k,RTX PRO 6000 96GB,vLLM nightly v0.23.1rc1,NVFP4 (modelopt_mixed) + MTP n=3,131072,pass,ALL PASS,pass (20/20),pass,pass (131k needle 13.8s; TTFT 13.9s),2/2,137.0 longgen (91.4 no-MTP; 1.50x),official checkpoint; prefix caching auto-off for Mamba+MTP,best measured heavy candidate of the exercise; not promoted
qwen36-27b-nvfp4-mtp,vllm-nightly-nvfp4-qwenmtp3-262k,RTX PRO 6000 96GB,vLLM nightly v0.23.1rc1,community ModelOpt NVFP4 + bf16 MTP head n=3,262144,pass,ALL PASS,pass (20/20),pass,pass 131k AND 262k (largest verified window; 262k TTFT ~124s),2/2,95.0 longgen (69.9 no-MTP; 1.36x),--language-model-only required; prefix caching off with MTP,262k big-KV heavy experiment validated; community checkpoint; not promoted
qwen35-35b-a3b-q4km,llamacpp-q4km-64k,RTX 5090 32GB,llama.cpp server-cuda,GGUF Q4_K_M,65536,pass,pass within window (needle probe exceeds 64k),pass (20/20),pass,pass 32k and 64k (64k TTFT 8.1s; needs --max-model-len hint),2/2,147 decode (56.3 aggregate short-probe),TTFT p50 178ms; prefill 4458 tok/s; below 214 tok/s community ref (newer build),strongest fast-tier candidate measured; not promoted
gemma4-e4b-q4,llamacpp-udq4kxl-64k,RTX 5090 32GB,llama.cpp server-cuda,GGUF UD-Q4_K_XL (QAT),65536,pass,pass within window,pass (20/20),pass,pass 32k and 64k (64k TTFT 6.4s),1/2,97.0,TTFT p50 61ms; PLE forward-pass gap open upstream (#22243),low-latency specialist; not promoted
